Buyer_Name,Vendor_Name,Vendor_Legal_Name,Vendor_Id,Tax_id,Vendor_Site_ID,NPI,Address_Line_1,Address_Line_2,City,State,Zip,Country,Phone_Number,Vendor_Contact_Name,Vendor_Contact_Title,Vendor_Contact_Phone,Vendor_Contact_Email
Sena Shopcott,Elfreda Lowndsborough,Elfreda Lowndsborough,1,09-0309809,729292490-5,,966,Morningstar Ave,Atlanta,Georgia,30358,United States,+1 404 799 6648,Johnathan Slessar,Nurse,+1 513 102 5627,jslessar0@zdnet.com
Adelaida Cattroll,Sibyl Danilovic,Sibyl Danilovic,2,18-0814818,907969787-7,,31854,Laurel St,Waterbury,Connecticut,06721,United States,+1 203 119 6785,Rasia Tracy,Office Assistant III,+1 281 393 2487,rtracy1@cbc.ca
Patrice Patmore,Humfrey O'Dwyer,Humfrey O'Dwyer,3,11-1114811,995694326-6,,16,4th Ave,Buffalo,New York,14215,United States,+1 716 275 2539,Melita Simenot,Analyst Programmer,+1 337 346 8357,msimenot2@adobe.com
Crin Embra,Jedediah Gaythorpe,Jedediah Gaythorpe,4,01-0414801,031574415-4,,10,Waubesa St,Detroit,Michigan,48217,United States,+1 313 910 6318,Christa Widdowson,Assistant Professor,+1 320 727 2414,cwiddowson3@usatoday.com
Jacquelyn Mathison,Wolfie Rennix,Wolfie Rennix,5,13-0608813,168335669-1,,1,Vahlen Ave,Reston,Virginia,20195,United States,+1 703 105 1006,Alexia Linnock,Safety Technician IV,+1 816 751 4250,alinnock4@mozilla.org
Brianne Zamora,Katheryn Staddom,Katheryn Staddom,6,25-1100825,776090362-6,,164,Garrison St,Miami,Florida,33147,United States,+1 786 628 0235,Matty Eagleton,Web Developer III,+1 251 282 3693,meagleton5@java.com
Lavina Salmon,Moreen Dysart,Moreen Dysart,7,10-1014810,808949091-3,,8,Katie Ave,Mesa,Arizona,85210,United States,+1 928 713 5258,Natala Handy,Senior Editor,+1 773 189 9456,nhandy6@mashable.com
Jemie Maybury,Queenie Mimmack,Queenie Mimmack,8,11-1200811,116909641-7,,5909,Ludington St,Des Moines,Iowa,50330,United States,+1 515 747 6431,Layney Kuhnert,Help Desk Technician,+1 502 848 7600,lkuhnert7@wordpress.org
Gwenore Ilyasov,Sophi Taillant,Sophi Taillant,9,24-0610824,643142407-7,,76,Ridge Oak Ave,Lincoln,Nebraska,68517,United States,+1 402 390 7403,Seana Mielnik,Mechanical Systems Engineer,+1 312 141 8293,smielnik8@parallels.com
Garth Hatherleigh,Martyn Gramer,Martyn Gramer,10,03-0606803,312543063-1,,18,Cambridge St,Toledo,Ohio,43666,United States,+1 419 499 0823,Mike Nicol,Senior Developer,+1 509 314 7094,mnicol9@ucla.edu
