"buyer_name";"vendor_name";"vendor_legal_name";"vendor_id";"tax_id";"vendor_site_id";"npi";"address";"address2";"city";"state";"zip";"country";"phone_number";"vendor_contact_name";"vendor_contact_title";"vendor_contact_phone";"vendor_contact_email"
"Castillo and Sons";"Bell, Woodward and Stevens";"Webster, Powell and Rice";"9477df96707fd76aadfc6d22b8e7fdf9";"19-1602175";"-45.4617565:101.379550";6099075565;"37963 Jermaine Spurs Apt. 924";" ";"New Paulstad";"DE";44034;"U.S.A";"691.699.8237";"Taylor Perez";"Psychiatric nurse";"1-573-864-9711x348";"anthony42@munoz.info"
"Bird-Rios";"Garcia-Jackson";"Wright-Butler";"41a01f051140922d0f0e022587b41414";"34-9049488";"-32.051722:-13.783142";6757821058;"3467 Thomas Lock";"Suite 626";"New Anthonyton";"Florida";69104;"U.S.";"346-969-9235x07895";"Alexander Simmons";"Therapist, art";"532-964-4774";"barbaradavidson@campbell.biz"
"Hebert Ltd";"Torres, Gonzalez and Harris";"Torres, Gonzalez and Harris";"a64bb060ef82ca84608d544aedfc9ac8";"17-5315147";"-18.6873365:138.525838";8026140642;"9440 Brown Locks";" ";"South John";"NL";"P6J2L1";"Can";"(287) 814-1941";"Alexander Martin";"Primary school teacher";"151-839-8441x501";"maxwell67@patel-vazquez.info"
"Payne Inc";"Nichols, Mcbride and Jordan";"Baker-Sharp";"67f682d9b88bdf09d01881e88567873e";"91-9021029";"4.995271:-53.141459";1840196708;"594 Melissa Landing";" ";"Port Elizabeth";"New Brunswick";"X1Y 1A9";"Can";"426-736-0603 x762";"Jennifer Jones";"Civil Service fast streamer";"1-312-902-8884";"robinsongina@hotmail.com"
"Fleming-Robinson";"Norris, Tucker and Oconnell";"House-Lewis";"3470208001b84762da779ab73a6a89ed";"70-9926930";"-1.5620655:-122.449217";6719517198;"6424 Lutz Loop Suite 082";" ";"Hillfort";"YT";"J8E 8C4";"Canada";"1-851-718-3918x03557";"Jerry Juarez";"Logistics and distribution manager";"1-795-232-5696";"jhood@rivera.net"
"Gillespie and Sons";"Joseph LLC";"Joseph LLC";"d0eb9a89f27f4b4d87c0e149cfa1bc5b";"34-1112187";"-66.4898255:-85.769192";3070936609;"1481 Chad Mills";"Suite 181";"West Colleenberg";"Manitoba";"B7R 7V1";"Canada";"(513)857-6708x09027";"William Harrison";"Accountant, chartered public finance";"604 530 2505";"davidrodriguez@yahoo.com"
"Conway, Johnson and Martinez";"Burton-Alvarado";"Cook, Perez and Ortiz";"76f736f31197ac0c6e04547c18632ff8";"67-7235504";"-64.835434:-29.706656";9813889094;"9063 Amanda Trail";"Apt. 124";"Lake Jillbury";"VT";30448;"US";"378-350-7496x9971";"Sherri Bean";"Air cabin crew";"+89(8)1023207047";"vharvey@hotmail.com"
"Miller-Spencer";"Howell, Petty and Roberts";"Johnson PLC";"07b6396cee406177d8aacbb2938f9b71";"97-7538504";"10.065627:40.785168";3944411764;"42306 Nicholas Mall Suite 287";" ";"West Katherineside";"Quebec";"J3G 8J6";"Can";"532.179.6895x80272";"Zachary Fletcher";"Fine artist";"545 806 4966";"nthomas@mckee.info"
"Livingston-Jones";"Chapman-Gardner";"Chapman-Gardner";"910b446d63052098aabe852175bdec0b";"94-8444178";"-26.531506:-61.913195";5608461626;"423 Ann Mount";" ";"Jonesberg";"Ohio";55539;"US";"(668)931-8619x47417";"Tiffany Henderson";"Radio producer";"501.388.9248";"hellis@hotmail.com"
"Walker LLC";"Shaw, Pittman and Lopez";"Palmer and Sons";"1d6f2d9c6aa6c22e5834005cf357b796";"60-9865229";"89.397854:-10.190000";2138101877;"777 Hayley Pine";" ";"Lake Katherine";"ON";"B1R 5G4";"CA";"(289)107-1834x561";"Adam Woods";"Gaffer";"223.647.9042";"kpadilla@arnold.com"
